sex,race,age_cat,priors_count,c_charge_degree,is_recid
Female,African-American,25 - 45,0,F,Survived
Female,Caucasian,25 - 45,1 to 3,M,Recidivated
Male,Caucasian,25 - 45,1 to 3,F,Survived
Female,African-American,Less than 25,0,F,Recidivated
Male,Caucasian,25 - 45,0,M,Survived
Male,African-American,Less than 25,0,F,Survived
Male,African-American,25 - 45,0,F,Survived
Female,Caucasian,25 - 45,0,M,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,African-American,Less than 25,1 to 3,F,Survived
Male,African-American,Greater than 45,1 to 3,F,Survived
Male,Caucasian,25 - 45,0,F,Survived
Male,African-American,Less than 25,1 to 3,F,Recidivated
Female,Caucasian,Less than 25,0,F,Survived
Male,Caucasian,Greater than 45,0,M,Survived
Male,Caucasian,Less than 25,1 to 3,F,Survived
Male,African-American,25 - 45,More than 3,M,Recidivated
Male,Caucasian,Less than 25,0,F,Survived
Female,African-American,Less than 25,0,F,Recidivated
Male,African-American,Greater than 45,1 to 3,F,Survived
Male,African-American,25 - 45,1 to 3,M,Survived
Female,Caucasian,Greater than 45,0,M,Survived
Male,African-American,Less than 25,1 to 3,F,Recidivated
Male,Caucasian,25 - 45,0,F,Survived
Male,African-American,Less than 25,1 to 3,F,Survived
Male,Caucasian,Less than 25,1 to 3,M,Recidivated
Male,African-American,Less than 25,More than 3,F,Recidivated
Male,African-American,Less than 25,0,F,Recidivated
Male,Caucasian,25 - 45,1 to 3,M,Survived
Female,Caucasian,Greater than 45,1 to 3,M,Recidivated
Male,Caucasian,25 - 45,0,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Recidivated
Female,Caucasian,Greater than 45,1 to 3,M,Survived
Female,African-American,Less than 25,0,F,Survived
Male,African-American,25 - 45,1 to 3,F,Survived
Male,African-American,25 - 45,1 to 3,M,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,African-American,Less than 25,More than 3,F,Recidivated
Male,Caucasian,Less than 25,1 to 3,M,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,African-American,25 - 45,1 to 3,F,Survived
Male,African-American,Greater than 45,1 to 3,F,Survived
Male,African-American,25 - 45,More than 3,F,Survived
Male,Caucasian,Greater than 45,More than 3,F,Recidivated
Female,Caucasian,Greater than 45,0,M,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Survived
Male,Caucasian,25 - 45,1 to 3,M,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,African-American,25 - 45,1 to 3,F,Survived
Male,African-American,Less than 25,0,M,Recidivated
Male,Caucasian,25 - 45,0,F,Survived
Male,African-American,Greater than 45,More than 3,F,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,Caucasian,Greater than 45,More than 3,F,Recidivated
Male,African-American,25 - 45,1 to 3,F,Survived
Female,Caucasian,25 - 45,0,M,Survived
Male,Caucasian,Greater than 45,0,M,Survived
Female,African-American,Less than 25,0,F,Survived
Male,African-American,Greater than 45,More than 3,F,Survived
Male,Caucasian,25 - 45,0,M,Recidivated
Male,Caucasian,Less than 25,0,F,Survived
Female,Caucasian,Greater than 45,1 to 3,M,Survived
Male,African-American,25 - 45,More than 3,M,Recidivated
Male,Caucasian,Less than 25,1 to 3,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,African-American,Less than 25,0,F,Recidivated
Male,Caucasian,25 - 45,0,M,Recidivated
Male,African-American,Greater than 45,More than 3,M,Recidivated
Male,African-American,Less than 25,1 to 3,F,Survived
Male,Caucasian,25 - 45,0,F,Survived
Male,African-American,Greater than 45,1 to 3,F,Recidivated
Male,Caucasian,25 - 45,1 to 3,M,Survived
Male,African-American,25 - 45,1 to 3,F,Survived
Male,Caucasian,Less than 25,1 to 3,F,Recidivated
Male,Caucasian,25 - 45,0,F,Survived
Male,African-American,25 - 45,1 to 3,F,Survived
Female,African-American,Less than 25,1 to 3,F,Recidivated
Male,Caucasian,Less than 25,1 to 3,F,Recidivated
Male,Caucasian,25 - 45,1 to 3,M,Survived
Female,Caucasian,Less than 25,0,F,Survived
Male,Caucasian,25 - 45,0,M,Survived
Male,African-American,Less than 25,1 to 3,F,Recidivated
Male,African-American,Less than 25,1 to 3,M,Recidivated
Male,Caucasian,Greater than 45,More than 3,F,Survived
Female,African-American,Greater than 45,1 to 3,F,Survived
Male,African-American,25 - 45,1 to 3,M,Survived
Male,African-American,25 - 45,More than 3,F,Survived
Male,Caucasian,Less than 25,0,M,Survived
Female,African-American,Greater than 45,1 to 3,F,Recidivated
Male,Caucasian,25 - 45,0,M,Recidivated
Male,African-American,25 - 45,More than 3,M,Recidivated
Male,African-American,25 - 45,1 to 3,M,Recidivated
Male,African-American,25 - 45,1 to 3,F,Recidivated
Male,Caucasian,Greater than 45,More than 3,F,Recidivated
Male,Caucasian,25 - 45,1 to 3,F,Recidivated
Male,African-American,Greater than 45,More than 3,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Survived
Male,Caucasian,Greater than 45,1 to 3,F,Survived
Male,African-American,25 - 45,0,F,Survived
Male,African-American,Less than 25,More than 3,F,Survived
Male,African-American,Greater than 45,More than 3,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Recidivated
Female,African-American,Less than 25,More than 3,F,Recidivated
Male,African-American,Greater than 45,1 to 3,M,Survived
Male,African-American,Greater than 45,More than 3,M,Recidivated
Male,Caucasian,Less than 25,1 to 3,M,Recidivated
Male,African-American,25 - 45,1 to 3,M,Survived
Male,African-American,Less than 25,1 to 3,F,Recidivated
Male,Caucasian,Greater than 45,0,F,Survived
Male,Caucasian,25 - 45,1 to 3,F,Survived
Male,Caucasian,Greater than 45,1 to 3,F,Survived
Male,Caucasian,25 - 45,More than 3,F,Recidivated
Male,Caucasian,Greater than 45,0,F,Survived
Male,Caucasian,Greater than 45,1 to 3,F,Recidivated
Female,Caucasian,Less than 25,More than 3,F,Recidivated
Male,Caucasian,Less than 25,1 to 3,M,Recidivated
Male,African-American,25 - 45,1 to 3,F,Survived
Female,Caucasian,25 - 45,0,M,Survived
Male,Caucasian,25 - 45,0,M,Recidivated
Male,African-American,Greater than 45,0,M,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Female,Caucasian,Greater than 45,0,M,Survived
Male,African-American,25 - 45,0,F,Survived
Male,Caucasian,25 - 45,1 to 3,M,Recidivated
Male,African-American,Greater than 45,More than 3,F,Recidivated
Male,Caucasian,25 - 45,1 to 3,F,Survived
Male,Caucasian,Greater than 45,1 to 3,M,Survived
Male,Caucasian,25 - 45,1 to 3,F,Survived
Male,Caucasian,Greater than 45,More than 3,M,Survived
Female,African-American,25 - 45,0,M,Survived
Female,Caucasian,Greater than 45,0,M,Survived
Male,African-American,25 - 45,1 to 3,M,Survived
Female,African-American,25 - 45,More than 3,F,Survived
Male,African-American,Greater than 45,More than 3,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,Caucasian,Less than 25,0,F,Survived
Male,Caucasian,Greater than 45,1 to 3,F,Recidivated
Male,African-American,Greater than 45,More than 3,M,Survived
Male,African-American,Less than 25,0,F,Recidivated
Male,Caucasian,25 - 45,More than 3,F,Recidivated
Male,Caucasian,Less than 25,0,F,Survived
Male,Caucasian,Less than 25,0,M,Survived
Male,Caucasian,25 - 45,More than 3,F,Survived
Male,African-American,25 - 45,1 to 3,M,Recidivated
Male,African-American,25 - 45,0,F,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,Caucasian,25 - 45,1 to 3,F,Recidivated
Male,Caucasian,Less than 25,0,F,Recidivated
Male,Caucasian,25 - 45,0,F,Survived
Male,African-American,25 - 45,0,F,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,Caucasian,Less than 25,More than 3,M,Recidivated
Male,Caucasian,Greater than 45,1 to 3,M,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,Caucasian,Greater than 45,1 to 3,F,Recidivated
Male,African-American,25 - 45,1 to 3,M,Survived
Male,Caucasian,Less than 25,1 to 3,F,Survived
Male,African-American,25 - 45,More than 3,F,Survived
Male,African-American,Greater than 45,More than 3,F,Survived
Male,African-American,25 - 45,1 to 3,F,Survived
Male,African-American,25 - 45,1 to 3,F,Recidivated
Male,African-American,Less than 25,1 to 3,F,Recidivated
Male,Caucasian,Greater than 45,1 to 3,M,Survived
Male,African-American,Less than 25,1 to 3,F,Recidivated
Male,African-American,Greater than 45,1 to 3,M,Survived
Male,African-American,25 - 45,0,F,Survived
Male,Caucasian,25 - 45,1 to 3,F,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Female,African-American,25 - 45,0,M,Survived
Male,African-American,Less than 25,1 to 3,F,Survived
Male,Caucasian,25 - 45,1 to 3,F,Recidivated
Male,Caucasian,25 - 45,More than 3,F,Survived
Male,African-American,25 - 45,More than 3,M,Recidivated
Male,Caucasian,25 - 45,More than 3,M,Survived
Female,African-American,25 - 45,More than 3,F,Recidivated
Male,Caucasian,25 - 45,0,M,Survived
Male,African-American,25 - 45,More than 3,F,Survived
Female,African-American,25 - 45,0,M,Survived
Female,Caucasian,Greater than 45,1 to 3,M,Recidivated
Male,Caucasian,Greater than 45,More than 3,F,Recidivated
Male,Caucasian,Greater than 45,0,M,Recidivated
Female,Caucasian,Greater than 45,0,M,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Female,Caucasian,Less than 25,0,M,Survived
Male,Caucasian,Less than 25,1 to 3,M,Survived
Male,African-American,25 - 45,0,M,Survived
Female,Caucasian,Less than 25,0,F,Survived
Male,African-American,25 - 45,0,M,Survived
Female,Caucasian,Less than 25,0,F,Survived
Male,African-American,Less than 25,1 to 3,F,Survived
Male,African-American,25 - 45,1 to 3,M,Recidivated
Male,African-American,25 - 45,1 to 3,M,Recidivated
Male,African-American,25 - 45,0,F,Survived
Male,African-American,Less than 25,More than 3,F,Recidivated
Female,African-American,25 - 45,1 to 3,F,Survived
Male,African-American,25 - 45,1 to 3,M,Survived
Male,Caucasian,25 - 45,More than 3,F,Recidivated
Female,Caucasian,Greater than 45,0,M,Survived
Male,Caucasian,25 - 45,1 to 3,M,Survived
Male,African-American,25 - 45,More than 3,M,Recidivated
Male,Caucasian,25 - 45,0,F,Survived
Male,African-American,Less than 25,0,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,Caucasian,Greater than 45,0,M,Survived
Male,Caucasian,25 - 45,1 to 3,M,Recidivated
Male,African-American,25 - 45,More than 3,F,Survived
Male,African-American,Greater than 45,More than 3,M,Recidivated
Female,Caucasian,Less than 25,1 to 3,F,Survived
Female,African-American,Less than 25,0,M,Survived
Female,Caucasian,Less than 25,1 to 3,F,Recidivated
Male,African-American,25 - 45,1 to 3,M,Survived
Male,African-American,25 - 45,0,M,Survived
Male,African-American,Greater than 45,More than 3,F,Recidivated
Male,African-American,Less than 25,More than 3,F,Recidivated
Male,Caucasian,25 - 45,1 to 3,F,Recidivated
Male,Caucasian,25 - 45,More than 3,M,Survived
Male,Caucasian,25 - 45,1 to 3,F,Survived
Male,Caucasian,Less than 25,1 to 3,F,Recidivated
Male,African-American,25 - 45,0,F,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Female,Caucasian,25 - 45,0,F,Recidivated
Female,African-American,Greater than 45,More than 3,F,Recidivated
Female,Caucasian,Greater than 45,0,M,Recidivated
Male,African-American,Less than 25,0,F,Survived
Female,African-American,Less than 25,0,F,Survived
Male,African-American,25 - 45,0,F,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Female,African-American,25 - 45,More than 3,F,Survived
Female,Caucasian,Greater than 45,1 to 3,F,Survived
Male,Caucasian,25 - 45,1 to 3,F,Recidivated
Male,African-American,25 - 45,0,F,Recidivated
Male,African-American,Less than 25,1 to 3,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,Caucasian,25 - 45,1 to 3,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,African-American,Greater than 45,More than 3,F,Survived
Male,African-American,Less than 25,1 to 3,F,Survived
Male,African-American,25 - 45,1 to 3,M,Recidivated
Male,African-American,Greater than 45,1 to 3,M,Recidivated
Male,African-American,25 - 45,0,M,Survived
Female,African-American,25 - 45,0,F,Survived
Male,Caucasian,Greater than 45,1 to 3,M,Survived
Male,African-American,Less than 25,0,F,Survived
Male,African-American,25 - 45,More than 3,F,Survived
Female,African-American,25 - 45,0,M,Survived
Female,Caucasian,Greater than 45,1 to 3,F,Survived
Male,African-American,25 - 45,0,M,Survived
Male,African-American,25 - 45,0,M,Recidivated
Male,African-American,Greater than 45,More than 3,F,Recidivated
Male,African-American,Less than 25,1 to 3,F,Survived
Female,Caucasian,25 - 45,0,M,Survived
Female,Caucasian,25 - 45,More than 3,F,Recidivated
Male,African-American,Less than 25,1 to 3,M,Recidivated
Male,African-American,25 - 45,1 to 3,F,Survived
Male,Caucasian,Greater than 45,1 to 3,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Survived
Male,African-American,25 - 45,More than 3,M,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,Caucasian,Greater than 45,1 to 3,F,Survived
Male,African-American,25 - 45,1 to 3,M,Recidivated
Male,Caucasian,Greater than 45,1 to 3,F,Recidivated
Male,African-American,Greater than 45,More than 3,F,Recidivated
Male,African-American,25 - 45,1 to 3,M,Survived
Male,African-American,Less than 25,1 to 3,M,Survived
Male,African-American,25 - 45,1 to 3,F,Survived
Male,African-American,Greater than 45,0,F,Survived
Male,African-American,25 - 45,More than 3,F,Survived
Male,African-American,25 - 45,More than 3,M,Recidivated
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,Caucasian,25 - 45,1 to 3,F,Survived
Female,Caucasian,Greater than 45,More than 3,F,Recidivated
Male,Caucasian,Greater than 45,1 to 3,F,Survived
Male,African-American,25 - 45,0,F,Survived
Female,Caucasian,Greater than 45,1 to 3,F,Survived
Male,African-American,Less than 25,0,F,Recidivated
Male,African-American,Greater than 45,More than 3,F,Recidivated
Male,African-American,Greater than 45,0,M,Survived
Male,African-American,Less than 25,1 to 3,F,Survived
Male,Caucasian,25 - 45,1 to 3,F,Recidivated
Male,Caucasian,Greater than 45,0,F,Survived
Male,Caucasian,25 - 45,0,M,Recidivated
Male,Caucasian,Less than 25,0,M,Survived
Male,Caucasian,25 - 45,0,F,Recidivated
Male,Caucasian,Greater than 45,0,M,Survived
Male,Caucasian,Less than 25,1 to 3,F,Survived
Male,African-American,Less than 25,0,F,Survived
Male,Caucasian,25 - 45,1 to 3,F,Survived
Male,Caucasian,Less than 25,1 to 3,F,Recidivated
Male,African-American,Greater than 45,0,F,Recidivated
Female,African-American,25 - 45,More than 3,F,Recidivated
Male,African-American,Greater than 45,1 to 3,F,Survived
Male,African-American,Less than 25,More than 3,F,Recidivated
Male,African-American,Less than 25,0,F,Survived
Male,African-American,25 - 45,0,F,Survived
Male,African-American,Less than 25,0,F,Survived
Male,African-American,Greater than 45,More than 3,F,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,African-American,Less than 25,0,F,Survived
Female,Caucasian,Less than 25,0,M,Survived
Male,Caucasian,25 - 45,More than 3,F,Recidivated
Male,African-American,Less than 25,0,F,Recidivated
Female,Caucasian,Greater than 45,0,F,Survived
Male,African-American,25 - 45,More than 3,M,Recidivated
Female,African-American,25 - 45,1 to 3,M,Survived
Male,African-American,Greater than 45,More than 3,F,Survived
Male,African-American,25 - 45,More than 3,M,Survived
Female,African-American,25 - 45,0,F,Survived
Male,African-American,Less than 25,0,F,Recidivated
Female,African-American,25 - 45,1 to 3,F,Survived
Male,African-American,Less than 25,1 to 3,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Recidivated
Female,African-American,Greater than 45,More than 3,F,Recidivated
Female,Caucasian,Less than 25,1 to 3,F,Recidivated
Female,African-American,Less than 25,0,F,Survived
Female,African-American,Greater than 45,0,F,Survived
Female,African-American,Less than 25,0,F,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
Male,African-American,25 - 45,More than 3,F,Survived
Male,African-American,25 - 45,More than 3,F,Recidivated
